"data";"valor"
"01/03/2011";"36,42"
"01/04/2011";"37,03"
"01/05/2011";"36,89"
"01/06/2011";"36,57"
"01/07/2011";"36,89"
"01/08/2011";"36,12"
"01/09/2011";"36,23"
"01/10/2011";"36,90"
"01/11/2011";"35,79"
"01/12/2011";"34,01"
"01/01/2012";"34,97"
"01/02/2012";"35,30"
"01/03/2012";"35,01"
"01/04/2012";"34,30"
"01/05/2012";"32,34"
"01/06/2012";"31,58"
"01/07/2012";"30,71"
"01/08/2012";"29,84"
"01/09/2012";"29,78"
"01/10/2012";"29,05"
"01/11/2012";"28,47"
"01/12/2012";"27,32"
"01/01/2013";"27,38"
"01/02/2013";"27,96"
"01/03/2013";"27,42"
"01/04/2013";"27,21"
"01/05/2013";"26,93"
"01/06/2013";"27,06"
"01/07/2013";"27,62"
"01/08/2013";"27,73"
"01/09/2013";"28,01"
"01/10/2013";"28,62"
"01/11/2013";"28,71"
"01/12/2013";"28,19"
"01/01/2014";"29,18"
"01/02/2014";"30,14"
"01/03/2014";"30,53"
"01/04/2014";"30,14"
"01/05/2014";"30,34"
"01/06/2014";"30,50"
"01/07/2014";"30,66"
"01/08/2014";"30,67"
"01/09/2014";"29,95"
"01/10/2014";"30,75"
"01/11/2014";"30,87"
"01/12/2014";"30,02"
"01/01/2015";"31,39"
"01/02/2015";"32,23"
"01/03/2015";"32,51"
"01/04/2015";"33,24"
"01/05/2015";"34,18"
"01/06/2015";"34,87"
"01/07/2015";"35,81"
"01/08/2015";"36,37"
"01/09/2015";"36,85"
"01/10/2015";"37,90"
"01/11/2015";"38,25"
"01/12/2015";"37,36"
"01/01/2016";"38,87"
"01/02/2016";"39,46"
"01/03/2016";"40,19"
"01/04/2016";"41,02"
"01/05/2016";"41,39"
"01/06/2016";"41,05"
"01/07/2016";"41,32"
"01/08/2016";"41,41"
"01/09/2016";"42,05"
"01/10/2016";"42,24"
"01/11/2016";"42,27"
"01/12/2016";"41,18"
"01/01/2017";"41,41"
"01/02/2017";"40,71"
"01/03/2017";"40,58"
"01/04/2017";"37,83"
"01/05/2017";"35,98"
"01/06/2017";"35,78"
"01/07/2017";"36,33"
"01/08/2017";"35,51"
"01/09/2017";"33,57"
"01/10/2017";"33,84"
"01/11/2017";"33,17"
"01/12/2017";"31,55"
"01/01/2018";"31,88"
"01/02/2018";"32,77"
"01/03/2018";"32,53"
"01/04/2018";"32,48"
"01/05/2018";"30,90"
"01/06/2018";"30,46"
"01/07/2018";"29,99"
"01/08/2018";"29,85"
"01/09/2018";"29,79"
"01/10/2018";"29,94"
"01/11/2018";"29,98"
"01/12/2018";"28,62"
"01/01/2019";"29,98"
"01/02/2019";"30,61"
"01/03/2019";"31,08"
"01/04/2019";"31,08"
"01/05/2019";"30,94"
"01/06/2019";"31,10"
"01/07/2019";"30,79"
"01/08/2019";"30,92"
"01/09/2019";"30,22"
"01/10/2019";"29,45"
"01/11/2019";"29,70"
"01/12/2019";"28,27"
"01/01/2020";"28,12"
"01/02/2020";"28,71"
"01/03/2020";"28,34"
"01/04/2020";"27,16"
"01/05/2020";"26,41"
"01/06/2020";"24,97"
"01/07/2020";"24,63"
"01/08/2020";"23,86"
"01/09/2020";"23,42"
"01/10/2020";"23,90"
"01/11/2020";"23,46"
"01/12/2020";"22,98"
"01/01/2021";"24,27"
"01/02/2021";"24,61"
"01/03/2021";"24,93"
"01/04/2021";"25,25"
"01/05/2021";"24,55"
"01/06/2021";"24,61"
"01/07/2021";"24,58"
"01/08/2021";"25,16"
"01/09/2021";"25,71"
"01/10/2021";"26,97"
"01/11/2021";"27,88"
"01/12/2021";"28,65"
"01/01/2022";"29,57"
"01/02/2022";"30,14"
"01/03/2022";"31,48"
"01/04/2022";"31,94"
"01/05/2022";"32,53"
"01/06/2022";"33,08"
"01/07/2022";"34,20"
"01/08/2022";"34,53"
"01/09/2022";"34,33"
"01/10/2022";"35,85"
"01/11/2022";"36,74"
"01/12/2022";"35,55"
"01/01/2023";"36,16"
"01/02/2023";"36,46"
"01/03/2023";"36,88"
"01/04/2023";"37,41"
"01/05/2023";"37,99"
"01/06/2023";"37,30"
"01/07/2023";"36,74"
"01/08/2023";"36,09"
"01/09/2023";"35,52"
"01/10/2023";"34,70"
"01/11/2023";"34,17"
"01/12/2023";"33,38"
"01/01/2024";"32,44"
"01/02/2024";"32,34"
"01/03/2024";"32,84"
"01/04/2024";"32,65"
